forecast_date,lowest_price_per_mwh,highest_price_per_mwh,origin_date,data_block_id
2023-04-04,53.45,57.99,2023-04-03,581
2023-04-05,50.0,55.47,2023-04-04,582
2023-04-06,49.8,54.5,2023-04-05,583
2023-04-07,48.5,51.66,2023-04-06,584
2023-04-08,46.0,50.8,2023-04-07,585
2023-04-09,48.0,53.63,2023-04-08,586
2023-04-10,48.2,50.43,2023-04-09,587
2023-04-11,42.25,51.99,2023-04-10,588
2023-04-12,47.0,52.73,2023-04-11,589
2023-04-13,46.0,52.7,2023-04-12,590
2023-04-14,46.2,52.64,2023-04-13,591
2023-04-15,43.0,49.39,2023-04-14,592
2023-04-16,46.5,60.0,2023-04-15,593
2023-04-17,47.21,51.49,2023-04-16,594
2023-04-18,47.06,53.7,2023-04-17,595
2023-04-19,46.52,50.99,2023-04-18,596
2023-04-20,47.0,48.65,2023-04-19,597
2023-04-21,45.0,48.77,2023-04-20,598
2023-04-22,44.0,48.4,2023-04-21,599
2023-04-23,45.5,47.99,2023-04-22,600
2023-04-24,46.4,50.0,2023-04-23,601
2023-04-25,46.5,48.0,2023-04-24,602
2023-04-26,44.01,47.45,2023-04-25,603
2023-04-27,45.0,51.99,2023-04-26,604
2023-04-28,46.7,51.5,2023-04-27,605
2023-04-29,46.85,51.96,2023-04-28,606
2023-04-30,47.0,53.0,2023-04-29,607
2023-05-01,47.5,51.99,2023-04-30,608
2023-05-02,45.11,52.0,2023-05-01,609
2023-05-03,41.06,51.5,2023-05-02,610
2023-05-04,45.0,52.5,2023-05-03,611
2023-05-05,44.0,49.97,2023-05-04,612
2023-05-06,41.0,49.0,2023-05-05,613
2023-05-07,41.1,51.0,2023-05-06,614
2023-05-08,40.0,45.0,2023-05-07,615
2023-05-09,38.01,42.0,2023-05-08,616
2023-05-10,39.01,44.99,2023-05-09,617
2023-05-11,39.51,42.0,2023-05-10,618
2023-05-12,38.0,44.96,2023-05-11,619
2023-05-13,38.6,41.65,2023-05-12,620
2023-05-14,37.51,40.6,2023-05-13,621
2023-05-15,36.0,40.15,2023-05-14,622
2023-05-16,37.0,43.97,2023-05-15,623
2023-05-17,37.0,39.73,2023-05-16,624
2023-05-18,37.0,40.0,2023-05-17,625
2023-05-19,35.0,40.23,2023-05-18,626
2023-05-20,34.81,37.0,2023-05-19,627
2023-05-21,34.11,37.0,2023-05-20,628
2023-05-22,34.23,39.98,2023-05-21,629
2023-05-23,34.0,35.4,2023-05-22,630
2023-05-24,33.56,36.96,2023-05-23,631
2023-05-25,30.0,35.0,2023-05-24,632
2023-05-26,29.1,34.1,2023-05-25,633
2023-05-27,28.3,34.1,2023-05-26,634
2023-05-28,28.1,34.1,2023-05-27,635
2023-05-29,28.16,36.98,2023-05-28,636
2023-05-30,29.0,34.0,2023-05-29,637
